œ– √(2), ÏŒÏ	¡œ– √(2), ŒÏ	œ– √(4), ÏŒÏ	¡œ– √(4), ŒÏ	œ– √(5), ÏŒÏ	¡œ– √(5), ŒÏ	œ– √(7), ÏŒÏ	¡œ– √(7), ŒÏ	œ– √(8), ÏŒÏ	¡œ– √(8), ŒÏ	œ– √(10), ÏŒÏ	¡œ– √(10), ŒÏ	œ– √(13), ÏŒÏ	¡œ– √(13), ŒÏ	œ– √(14), ÏŒÏ	¡œ– √(14), ŒÏ	› √(16), ÏÍ¬	“– √(32), ÏŒÏ	
-15.200	64.183	-8.400	8.745	4.000	12.561	-31.200	94.446	-8.800	82.945	-2.000	72.769	-7.600	25.705	-10.400	108.385	83.480	-4.000	
-15.200	64.183	-8.000	8.692	3.200	12.508	-31.200	94.446	-8.800	82.945	-1.600	72.769	-6.400	25.705	-10.400	108.332	70.494	-4.000	
-15.200	64.183	-8.000	8.692	2.800	12.508	-31.600	94.446	-8.400	82.945	-0.800	72.769	-5.200	25.705	-10.800	108.332	55.653	-4.000	
-15.600	64.183	-7.200	8.745	3.200	12.508	-32.000	94.446	-8.400	82.945	-0.400	72.769	-4.400	25.705	-11.200	108.385	44.522	-4.400	
-16.000	64.183	-6.800	8.745	3.600	12.561	-32.400	94.446	-8.400	82.945	0.000	72.769	-4.400	25.705	-11.200	108.385	27.827	-4.400	
-16.400	64.183	-6.400	8.745	4.000	12.614	-32.800	94.446	-8.400	82.945	0.400	72.769	-4.000	25.705	-11.600	108.385	24.116	-4.400	
-17.200	64.183	-6.400	8.745	2.800	12.667	-32.800	94.446	-8.000	82.945	0.400	72.769	-3.600	25.705	-12.000	108.385	29.682	-4.000	
-17.600	64.183	-6.000	8.745	2.400	12.667	-33.200	94.446	-7.200	82.945	0.800	72.769	-3.600	25.705	-12.000	108.332	16.696	-4.000	
-18.400	64.183	-5.600	8.745	2.800	12.614	-33.600	94.446	-6.800	82.945	0.800	72.769	-4.000	25.705	-11.600	108.332	9.276	-4.000	
-19.200	64.236	-5.200	8.745	3.600	12.561	-33.600	94.446	-6.800	82.945	1.200	72.769	-5.200	25.705	-11.600	108.385	27.827	-4.000	
-20.000	64.183	-5.200	8.745	4.000	12.508	-34.000	94.446	-6.400	82.945	0.800	72.769	-6.800	25.705	-11.600	108.385	42.667	-4.000	
-20.800	64.183	-5.600	8.745	4.400	12.508	-34.000	94.446	-5.600	82.945	0.800	72.769	-8.400	25.705	-11.200	108.385	51.943	-3.600	
-21.200	64.183	-6.000	8.745	4.800	12.508	-34.000	94.446	-4.800	82.945	1.200	72.769	-9.200	25.705	-10.400	108.385	64.929	-4.000	
-22.000	64.236	-6.400	8.745	5.200	12.508	-34.000	94.446	-4.400	82.945	1.200	72.769	-9.200	25.705	-9.200	108.385	64.929	-4.000	
-22.800	64.236	-6.400	8.745	6.000	12.561	-33.600	94.446	-4.800	82.945	1.600	72.769	-9.200	25.652	-8.400	108.385	57.508	-4.000	
-23.600	64.236	-6.800	8.745	6.400	12.614	-33.200	94.446	-4.400	82.945	1.600	72.769	-9.200	25.705	-7.600	108.385	57.508	-4.000	
-24.000	64.236	-7.200	8.745	5.600	12.667	-32.800	94.446	-4.000	82.945	1.600	72.769	-10.000	25.705	-6.800	108.332	64.929	-4.400	
-24.800	64.236	-8.000	8.745	4.800	12.667	-32.000	94.446	-3.600	82.945	1.600	72.769	-11.200	25.705	-6.000	108.332	64.929	-4.400	
-25.600	64.236	-8.000	8.745	5.200	12.614	-31.200	94.393	-3.600	82.945	1.600	72.769	-12.000	25.705	-5.200	108.332	66.784	-4.400	
-26.400	64.236	-8.000	8.745	5.600	12.561	-30.400	94.393	-4.000	82.945	1.600	72.769	-12.400	25.705	-4.400	108.332	70.494	-4.400	
-27.200	64.236	-8.400	8.745	5.200	12.508	-29.200	94.393	-4.800	82.945	1.600	72.769	-12.000	25.705	-3.200	108.332	63.073	-4.000	
-28.000	64.183	-8.400	8.692	4.400	12.508	-28.000	94.393	-5.200	82.945	2.000	72.769	-11.200	25.705	-2.400	108.332	51.943	-4.000	
-28.800	64.236	-8.400	8.692	4.000	12.508	-26.800	94.393	-4.800	82.945	2.000	72.769	-10.800	25.705	-1.600	108.385	51.943	-3.600	
-29.200	64.236	-8.000	8.745	4.000	12.508	-25.600	94.446	-4.800	82.945	2.000	72.769	-10.400	25.705	-1.600	108.385	51.943	-3.600	
-30.000	64.236	-7.600	8.745	4.800	12.561	-24.400	94.446	-5.200	82.945	2.000	72.769	-10.000	25.705	-1.200	108.385	46.378	-3.200	
-30.800	64.236	-7.200	8.745	5.200	12.614	-23.200	94.393	-6.000	82.945	2.000	72.769	-10.000	25.705	-1.200	108.385	37.102	-2.800	
-31.200	64.236	-7.600	8.745	4.400	12.667	-22.400	94.393	-6.800	82.945	2.400	72.769	-10.400	25.705	-0.800	108.332	24.116	-2.400	
-31.600	64.236	-7.600	8.745	4.000	12.667	-21.200	94.393	-7.200	82.945	2.800	72.769	-10.400	25.705	-0.400	108.385	-3.710	-2.000	
-31.600	64.236	-7.200	8.745	4.800	12.614	-20.400	94.393	-7.200	82.945	2.800	72.769	-10.800	25.705	0.000	108.332	-11.131	-2.000	
-32.000	64.236	-6.800	8.745	5.200	12.561	-19.200	94.446	-8.000	82.945	3.200	72.769	-10.800	25.705	0.000	108.332	7.420	-1.600	
-32.000	64.236	-6.800	8.692	4.400	12.561	-18.400	94.393	-8.400	82.945	3.600	72.769	-10.400	25.705	0.400	108.332	3.710	-1.600	
-32.000	64.236	-6.800	8.745	3.200	12.508	-17.600	94.393	-8.400	82.945	4.000	72.769	-10.000	25.705	1.200	108.332	-25.971	-1.600	
-31.600	64.236	-6.800	8.692	1.600	12.508	-16.800	94.446	-8.000	82.945	4.400	72.769	-10.000	25.705	2.000	108.332	-44.522	-1.600	
-31.200	64.236	-6.800	8.745	0.800	12.508	-16.400	94.393	-7.600	82.945	4.800	72.769	-10.400	25.705	3.200	108.332	-42.667	-1.600	
-30.800	64.236	-6.400	8.745	0.800	12.561	-16.000	94.393	-8.000	82.945	5.200	72.769	-10.800	25.705	4.400	108.332	-42.667	-2.000	
-30.400	64.183	-6.400	8.745	0.400	12.667	-16.000	94.393	-8.000	82.945	5.600	72.769	-11.600	25.705	5.600	108.332	-37.102	-2.000	
-29.600	64.236	-6.400	8.745	-0.400	12.667	-15.600	94.393	-7.200	82.945	5.600	72.769	-12.000	25.705	6.400	108.332	-18.551	-2.400	
-29.200	64.236	-6.800	8.745	-1.200	12.667	-15.200	94.393	-6.400	82.945	6.000	72.769	-12.000	25.705	6.800	108.332	5.565	-2.400	
-28.400	64.183	-6.400	8.745	-0.400	12.614	-14.800	94.393	-6.400	82.945	6.000	72.769	-12.000	25.705	7.600	108.332	46.378	-2.800	
-27.600	64.236	-6.400	8.745	0.800	12.561	-14.800	94.393	-6.400	82.945	6.400	72.769	-12.400	25.705	8.400	108.332	124.292	-2.800	
-26.800	64.183	-6.800	8.692	1.200	12.508	-14.000	94.393	-6.800	82.945	6.400	72.769	-12.800	25.705	8.800	108.332	231.888	-2.800	
-25.600	64.236	-7.200	8.745	2.000	12.508	-13.600	94.393	-6.400	82.945	6.800	72.769	-13.600	25.705	9.600	108.332	346.904	-2.800	
-24.800	64.183	-8.000	8.745	2.800	12.508	-12.800	94.393	-6.000	82.945	7.200	72.769	-13.600	25.705	10.000	108.332	467.485	-3.200	
-24.400	64.183	-8.000	8.692	4.000	12.508	-12.400	94.393	-5.600	82.945	7.200	72.769	-13.200	25.705	10.400	108.332	608.473	-3.200	
-23.600	64.236	-8.400	8.745	5.600	12.561	-11.200	94.393	-6.000	82.945	7.600	72.769	-12.400	25.652	10.400	108.332	762.446	-3.200	
-22.800	64.183	-8.800	8.745	6.400	12.667	-10.400	94.393	-6.000	82.945	8.000	72.769	-11.200	25.705	10.800	108.332	923.840	-3.200	
-22.400	64.183	-9.200	8.745	5.600	12.667	-9.600	94.393	-6.000	82.945	8.400	72.769	-10.800	25.705	11.200	108.332	1090.799	-2.800	
-21.600	64.183	-9.200	8.745	5.600	12.667	-8.800	94.393	-6.000	82.945	8.800	72.769	-10.000	25.705	11.600	108.332	1252.193	-2.800	
-21.200	64.183	-9.200	8.745	6.400	12.614	-7.600	94.393	-6.000	82.945	8.800	72.769	-8.800	25.705	12.000	108.332	1383.905	-2.800	
